item_type,item_age_years,item_condition,triage_action,user_age,app_sessions_per_month,distance_to_dropoff_km,points_redeemed_history,items_recycled_count
Monitor,1.5,Good,Recycle,25,14,6.0,9416,2
Peripherals,2.9,Good,Refurbish,64,28,10.9,6276,7
Tablet,9.2,Good,Recycle,64,11,9.9,1988,0
Peripherals,1.1,Fair,Refurbish,54,24,2.9,6777,5
Peripherals,6.2,Good,Recycle,51,29,5.1,6312,9
Laptop,5.6,Fair,Refurbish,46,4,8.2,8168,0
Tablet,4.3,Good,Refurbish,54,19,12.8,865,5
Tablet,5.0,Dead,Recycle,40,13,14.3,8582,2
Tablet,6.6,Good,Recycle,55,1,0.8,9600,1
Peripherals,2.4,Dead,Recycle,46,21,5.6,4915,7
Monitor,7.1,Dead,Recycle,61,19,10.2,6241,4
Tablet,9.8,Fair,Recycle,22,15,8.2,7135,5
Peripherals,9.2,Broken,Recycle,57,20,14.2,1554,4
Laptop,2.3,Fair,Refurbish,28,15,0.7,4047,4
Monitor,2.2,Fair,Refurbish,31,25,6.8,131,6
Laptop,3.6,Good,Refurbish,59,11,10.2,3679,0
Monitor,4.7,Good,Refurbish,19,23,3.7,6353,5
Peripherals,5.2,Fair,Refurbish,52,27,11.0,3076,4
Smartphone,8.3,Fair,Recycle,62,5,1.7,1521,1
Monitor,1.2,Fair,Refurbish,52,24,7.0,3269,8
Laptop,0.9,Good,Refurbish,59,22,10.3,440,6
Peripherals,5.0,Fair,Refurbish,45,10,4.4,9933,3
Monitor,8.5,Excellent,Recycle,25,18,1.6,1203,5
Smartphone,2.7,Excellent,Refurbish,49,7,14.4,8432,0
Smartphone,7.9,Good,Recycle,21,1,13.8,3391,0
Tablet,3.5,Excellent,Refurbish,62,3,13.9,3721,0
Tablet,10.7,Good,Refurbish,24,28,14.7,6775,7
Laptop,10.8,Broken,Recycle,56,1,3.2,7160,0
Monitor,3.9,Excellent,Refurbish,44,17,2.8,7875,6
Monitor,3.1,Broken,Recycle,54,15,1.0,9395,5
Tablet,5.2,Good,Refurbish,34,5,13.4,1887,0
Monitor,3.3,Dead,Recycle,27,22,11.4,4270,7
Monitor,8.2,Fair,Recycle,21,16,9.7,8389,4
Smartphone,10.0,Good,Recycle,40,12,14.0,7705,1
Tablet,8.2,Fair,Recycle,31,19,8.8,4194,6
Peripherals,10.0,Fair,Recycle,22,14,2.4,744,3
Tablet,5.1,Fair,Refurbish,19,3,3.1,5546,0
Peripherals,2.3,Good,Recycle,63,19,2.4,452,7
Smartphone,9.0,Dead,Recycle,41,1,5.0,3262,2
Laptop,4.6,Fair,Recycle,35,21,6.0,7745,7
Monitor,8.2,Good,Recycle,44,1,12.1,498,0
Smartphone,3.6,Broken,Recycle,41,26,3.3,140,6
Monitor,1.4,Fair,Refurbish,46,10,11.0,1714,1
Laptop,11.9,Broken,Recycle,28,3,7.6,675,0
Laptop,2.3,Fair,Refurbish,35,13,15.0,3505,3
Smartphone,11.9,Broken,Recycle,21,6,11.8,3602,1
Laptop,11.7,Good,Recycle,50,11,14.5,6675,3
Peripherals,9.6,Broken,Recycle,31,6,5.5,9109,1
Laptop,8.1,Broken,Recycle,61,3,2.3,6504,0
Monitor,7.1,Good,Recycle,59,16,7.8,4803,6
Monitor,10.5,Good,Recycle,49,9,2.3,1730,3
Monitor,3.8,Good,Recycle,21,8,7.6,5976,3
Monitor,5.9,Dead,Recycle,37,27,4.4,7811,8
Peripherals,7.6,Good,Recycle,38,3,7.6,7028,4
Tablet,5.2,Fair,Recycle,20,5,14.3,3718,1
Smartphone,5.4,Excellent,Refurbish,42,21,4.7,7088,6
Monitor,4.3,Fair,Recycle,21,14,14.9,1624,2
Laptop,7.0,Fair,Recycle,64,5,3.8,1806,2
Monitor,10.3,Dead,Refurbish,28,19,3.5,9646,4
Laptop,2.8,Fair,Recycle,33,5,8.4,8545,0
Laptop,11.2,Broken,Recycle,53,21,12.7,2933,4
